Date,Close Price,Positive,Neutral,Negative
2014-09-18,424.440002,0,0,3
2014-09-20,408.903992,0,3,0
2014-09-21,398.821014,0,9,0
2014-09-22,402.152008,0,2,0
2014-09-24,423.204987,0,8,0
2014-09-27,399.519989,0,5,0
2014-10-12,378.549011,0,1,0
2014-10-17,383.757996,0,10,0
2014-10-21,386.475006,0,8,0
2014-11-01,325.748993,0,1,41
2014-11-03,327.553986,2,0,0
2014-11-06,349.290009,3,0,0
2014-11-10,366.924011,6,2,0
2014-11-15,376.132996,0,0,6
2014-12-12,352.541992,2,0,0
2014-12-14,351.631989,9,4,0
2014-12-16,327.062012,1,455,2
2014-12-18,311.395996,8,0,0
2014-12-24,322.533997,2,0,0
2014-12-27,315.863007,0,3,4
2014-12-30,310.737,3,0,0
2015-01-08,283.348999,0,9,0
2015-01-26,273.472992,0,5,0
2015-02-04,226.852997,0,3,0
2015-02-10,219.839005,0,4,0
2015-02-11,219.184998,0,3,0
2015-02-12,221.764008,0,3,0
2015-02-14,257.321014,3,0,0
2015-02-15,234.824997,0,6,0
2015-02-20,243.779007,2,0,0
2015-02-22,235.977005,0,0,4
2015-02-23,238.891998,10,0,0
2015-03-06,272.722992,0,0,2
2015-03-07,276.260986,2,0,0
2015-03-09,289.606995,3,0,0
2015-03-18,256.299011,3,0,0
2015-03-22,267.959991,0,0,3
2015-04-03,254.322006,8,0,0
2015-04-07,253.179993,5,0,0
2015-04-09,243.675995,0,4,0
2015-04-12,236.153,1,0,0
2015-04-24,231.268005,0,9,0
2015-04-27,229.285995,2,0,0
2015-04-28,225.854996,0,2,0
2015-04-30,236.145004,0,4,0
2015-05-11,242.158005,4,0,0
2015-05-13,236.376999,0,4,0
2015-05-18,233.128006,9,0,0
2015-05-22,240.348007,0,0,3
2015-05-27,237.283005,7,0,0
2015-06-04,224.324005,31,0,0
2015-06-18,249.007004,3,0,0
2015-06-26,243.593994,0,4,0
2015-06-30,263.071991,6,2,0
2015-07-04,260.885986,1,0,0
2015-07-07,266.207001,3,0,0
2015-07-13,292.053986,0,5,0
2015-07-18,274.901001,7,0,0
2015-07-19,273.614014,5,0,4
2015-07-21,275.833008,5,0,0
2015-07-22,277.221985,0,661,0
2015-07-28,294.427002,3,0,0
2015-08-02,282.614014,3,2,0
2015-08-13,264.079987,4,0,0
2015-08-21,232.569,2,1,0
