Date,Positive,Neutral,Negative
2009-10-31,0,0,1
2009-11-01,1,0,0
2009-11-15,1,0,0
2009-11-16,1,0,0
2009-12-05,1,0,0
2009-12-29,2,3,0
2010-01-01,3,1,1
2010-01-02,1,0,0
2010-01-03,2,0,1
2010-01-04,3,0,1
2010-01-05,0,1,0
2010-01-07,2,5,2
2010-01-08,6,6,1
2010-01-09,1,0,0
2010-01-11,2,1,0
2010-01-12,2,5,2
2010-01-13,3,1,1
2010-01-15,0,1,0
2010-01-16,0,2,0
2010-01-17,1,2,0
2010-01-18,4,3,0
2010-01-19,0,1,0
2010-01-20,5,8,0
2010-01-21,7,5,1
2010-01-22,4,3,1
2010-01-23,2,0,1
2010-01-24,1,2,0
2010-01-25,3,0,0
2010-01-26,9,3,0
2010-01-27,10,7,3
2010-01-28,4,10,1
2010-01-29,7,1,1
2010-01-30,4,1,1
2010-02-01,3,8,2
2010-02-02,5,12,1
2010-02-03,4,5,2
2010-02-04,3,11,3
2010-02-05,4,4,1
2010-02-06,2,2,0
2010-02-07,0,1,0
2010-02-08,4,5,2
2010-02-09,5,2,0
2010-02-10,2,5,1
2010-02-11,4,6,0
2010-02-12,3,3,0
2010-02-13,1,5,0
2010-02-14,1,1,0
2010-02-15,1,1,0
2010-02-16,4,12,1
2010-02-17,4,3,0
2010-02-18,0,1,0
2010-02-19,2,0,0
2010-02-24,0,1,0
2010-02-25,5,0,0
2010-02-26,1,1,0
2010-02-27,2,1,1
2010-03-01,9,7,0
2010-03-02,6,2,0
2010-03-03,11,37,1
2010-03-04,9,4,3
2010-03-05,4,54,0
2010-03-06,0,2,1
2010-03-07,1,0,1
2010-03-08,2,4,0
2010-03-09,3,7,1
2010-03-10,5,2,1
2010-03-11,0,5,1
2010-03-12,10,8,1
2010-03-13,2,3,0
2010-03-14,5,10,2
2010-03-15,4,6,0
2010-03-16,5,5,0
2010-03-17,2,7,1
2010-03-18,5,9,2
2010-03-19,1,3,0
2010-03-20,1,2,0
2010-03-21,3,4,0
2010-03-22,6,24,0
2010-03-23,0,3,0
2010-03-24,0,1,0
2010-03-25,1,2,0
2010-03-26,6,1,0
2010-03-27,2,2,0
2010-03-28,4,1,0
2010-03-29,2,1,0
2010-03-31,0,1,0
2010-04-01,2,3,0
2010-04-03,1,0,0
2010-04-04,0,2,2
2010-04-08,0,1,0
2010-04-10,1,0,1
2010-04-11,0,2,0
2010-04-12,1,3,1
2010-04-13,1,5,0
2010-04-16,2,0,0
2010-04-17,2,0,0
2010-04-20,1,2,1
2010-04-25,1,2,0
2010-04-27,2,2,0
2010-04-28,0,1,1
2010-04-29,0,1,0
2010-05-02,0,1,0
2010-05-05,3,3,1
2010-05-06,0,1,0
2010-05-07,0,1,0
2010-05-21,0,2,0
2010-05-22,0,1,0
2010-05-29,1,0,0
2010-05-30,3,3,1
2010-05-31,2,2,0
2010-06-01,2,5,0
2010-06-02,2,3,0
2010-06-03,0,1,0
2010-06-04,1,4,1
2010-06-05,0,0,1
2010-06-07,6,5,0
2010-06-09,1,1,0
2010-06-11,0,5,0
2010-06-12,0,6,0
2010-06-13,0,2,0
2010-06-14,2,0,0
2010-06-16,3,25,0
2010-06-17,70,2,4
2010-06-18,8,0,0
2010-06-19,0,0,1
2010-06-20,0,2,2
2010-06-22,0,16,2
2010-06-29,9,0,0
2010-07-02,4,3,0
2010-07-03,13,44,0
2010-07-04,2,0,0
2010-07-07,10,13,0
2010-07-08,14,2,0
2010-07-09,0,60,0
2010-07-10,2,11,0
2010-07-11,60,4,12
2010-07-12,0,32,0
2010-07-13,0,4,0
2010-07-14,4,11,0
2010-07-17,0,31,3
2010-07-18,0,2,2
2010-07-19,2,0,0
2010-07-20,0,5,0
2010-07-23,2,0,0
2010-07-27,8,8,18
2010-08-02,0,2,7
2010-08-03,2,0,0
2010-08-07,30,0,0
2010-08-08,2,0,0
2010-08-09,2,0,0
2010-08-11,12,5,2
2010-08-12,42,0,0
2010-08-13,0,3,0
2010-08-14,7,0,0
2010-08-15,0,2,1
2010-08-17,4,0,0
2010-08-18,5,0,0
2010-08-22,0,19,0
2010-09-05,2,0,0
2010-09-06,0,2,0
2010-11-06,0,4,0
2010-11-12,0,1,0
2010-12-06,3,0,0
2011-01-10,2,0,0
2011-02-01,1,82,1
2011-02-04,0,1,0
2011-02-14,0,1,0
2011-04-13,7,1,0
2011-04-15,0,0,3
2011-04-16,4,0,0
2011-04-20,1,0,1
2011-04-21,4,0,0
2011-04-26,0,1,0
2011-05-08,5,3,0
2011-05-11,0,1,0
2011-05-15,1,0,0
2011-05-19,4,0,0
2011-05-20,1,0,0
2011-05-25,4,0,0
2011-05-27,3,0,0
2011-06-13,3,0,0
2011-06-25,0,5,0
2011-07-24,0,1,0
2011-07-26,0,0,1
2011-07-27,0,3,0
2011-08-12,4,0,0
2011-09-05,0,0,1
2011-11-20,0,17,0
2011-12-07,2,0,0
2012-01-10,3,0,0
2012-01-18,3,0,0
2012-01-31,2,0,0
2012-02-02,0,3,0
2012-03-01,3,0,0
2012-03-10,0,3,0
2012-03-20,4,0,0
2012-06-20,1,0,0
2012-06-26,1,2,0
2012-06-27,0,4,0
2012-06-30,5,0,0
2012-07-11,1,6,0
2012-07-20,1,0,0
2012-07-22,7,0,0
2012-07-23,0,3,0
2012-07-31,2,1,0
2012-08-04,0,3,0
2012-08-20,0,2,0
2012-09-15,0,0,2
2012-10-03,0,3,0
2012-10-04,0,4,0
2012-10-18,2,4,0
2012-10-22,0,2,0
2012-11-05,0,1,0
2012-11-15,0,4,0
2012-11-22,0,3,0
2012-11-28,0,3,0
2012-12-01,5,0,0
2012-12-03,4,0,3
2013-02-12,2,1,0
2013-08-14,0,20,0
2013-08-26,0,26,0
2013-09-14,7,0,0
2013-09-16,6,0,0
2013-09-17,6,0,0
2013-09-21,16,17,5
2013-09-23,9,2,0
2013-09-24,0,3,2
2013-09-26,0,0,4
2013-09-27,0,0,2
2013-09-28,9,4,0
2013-09-30,3,0,0
2013-10-01,6,0,0
2013-10-02,7,3,2
2013-10-04,0,2,0
2013-10-07,0,0,5
2013-10-09,0,2,2
2013-10-11,3,0,6
2013-10-12,0,4,0
2013-10-16,15,10,0
2013-10-17,12,0,0
2013-10-19,4,0,9
2013-10-23,9,0,0
2013-10-25,6,0,12
2013-10-27,3,0,0
2013-10-29,10,5,2
2013-10-30,26,0,0
2013-10-31,2,0,7
2013-11-01,8,0,0
2013-11-03,1,0,0
2013-11-04,24,0,13
2013-11-06,800,0,0
2013-11-07,5,5,0
2013-11-11,4,0,0
2013-11-13,0,6,0
2013-11-15,13,5,0
2013-11-16,0,2,0
2013-11-18,0,5,0
2013-11-20,10,0,0
2013-11-25,2,0,0
2013-11-28,4,0,210
2013-11-29,7,0,0
2013-11-30,8,0,0
2013-12-02,11,0,3
2013-12-03,0,28,0
2013-12-04,8,10,0
2013-12-05,3,0,0
2013-12-07,56,3,4
2013-12-09,3,0,0
2013-12-11,5,44,0
2013-12-12,0,8,0
2013-12-13,6,0,2
2013-12-16,0,7,0
2013-12-17,0,76,0
2013-12-19,33,3,220
2013-12-22,0,3,0
2013-12-23,22,0,0
2013-12-24,5,8,2
2013-12-27,7,0,0
2014-01-03,0,0,5
2014-01-06,8,0,0
2014-01-07,0,4,0
2014-01-08,0,4,0
2014-01-09,11,0,5
2014-01-10,0,70,4
2014-01-11,0,6,0
2014-01-12,16,3,0
2014-01-13,0,0,3
2014-01-14,6,9,4
2014-01-15,0,7,0
2014-01-17,539,4,0
2014-01-18,0,5,7
2014-01-21,13,0,0
2014-01-22,0,6,9
2014-01-23,0,4,0
2014-01-24,0,27,0
2014-01-25,13,0,4
2014-01-26,1,0,0
2014-01-27,14,0,27
2014-01-28,16,0,0
2014-01-29,14,8,0
2014-01-30,23,8,12
2014-01-31,0,6677,0
2014-02-01,19,159,0
2014-02-05,0,3,0
2014-02-06,4,9,0
2014-02-07,261,42,3
2014-02-08,0,0,5
2014-02-10,0,14,3
2014-02-11,47,48,0
2014-02-12,0,5,0
2014-02-13,0,3,0
2014-02-14,3,0,0
2014-02-15,4,4,0
2014-02-16,13,9,0
2014-02-17,8,17,7
2014-02-18,29,10,6
2014-02-19,0,8,22
2014-02-20,91,0,0
2014-02-21,44,67,1
2014-02-22,3736,119,7
2014-02-23,13,12,17
2014-02-24,3,8,0
2014-02-25,9,979,5
2014-02-26,42,7,2
2014-02-27,69,11,73
2014-02-28,6,0,7
2014-03-01,14,22,5
2014-03-02,264,0,0
2014-03-03,157,6,6
2014-03-04,8,22,4
2014-03-05,18,0,1
2014-03-06,16,0,0
2014-03-07,17,14,2
2014-03-08,0,8,0
2014-03-09,0,0,6
2014-03-10,3,0,10
2014-03-11,0,0,5
2014-03-12,1554,1051,2
2014-03-13,842,0,7
2014-03-14,4,1,4
2014-03-16,8,0,0
2014-03-17,7,3,0
2014-03-18,1,7,0
2014-03-19,3,0,0
2014-03-20,9,6,0
2014-03-21,4,0,3
2014-03-22,9,2,3
2014-03-23,12,0,0
2014-03-24,4,2,5
2014-03-25,1,14,0
2014-03-26,63,0,2
2014-03-27,7,2,5
2014-03-28,0,0,4
2014-03-30,0,6,1
2014-03-31,9,0,0
2014-04-01,7,106,0
2014-04-02,24,0,0
2014-04-03,9,31,46
2014-04-04,0,0,4
2014-04-05,0,0,13
2014-04-07,0,57,0
2014-04-08,1,11,3
2014-04-09,2559,0,0
2014-04-10,6,6,42
2014-04-11,2930,0,4
2014-04-12,4,8,18
2014-04-13,0,0,5
2014-04-14,2,0,1
2014-04-15,2,1,0
2014-04-16,11,2,1
2014-04-17,6,3,3
2014-04-18,0,86,0
2014-04-20,3,0,2
2014-04-22,5,3,0
2014-04-23,1,4,5
2014-04-24,0,13,8
2014-04-25,11,0,14
2014-04-27,855,3,5
2014-04-28,137,1375,0
2014-04-29,80,43,0
2014-04-30,6,10,0
2014-05-01,8,4179,0
2014-05-02,0,0,12
2014-05-05,16,11,0
2014-05-06,376,5,12
2014-05-07,85,6,8
2014-05-08,18,3269,0
2014-05-09,222,0,0
2014-05-10,8,0,0
2014-05-11,0,587,0
2014-05-12,5,2,117
2014-05-13,40,7,0
2014-05-15,10,0,0
2014-05-16,13,602,0
2014-05-17,487,100,18
2014-05-20,6,0,0
2014-05-22,17,9,5
2014-05-23,0,0,4
2014-05-24,39,0,0
2014-05-29,8,0,0
2014-05-30,29,4,0
2014-05-31,0,7,0
2014-06-02,14,0,8
2014-06-03,9,0,6
2014-06-07,12,5,0
2014-06-09,0,120,0
2014-06-10,0,4,0
2014-06-11,7,0,0
2014-06-13,72,27,0
2014-06-14,0,0,4
2014-06-18,0,9,4
2014-06-19,4,0,7
2014-06-23,4,34,0
2014-06-30,0,4,0
2014-07-07,0,9,0
2014-07-10,0,4,0
2014-07-12,8,0,0
2014-07-28,0,3,0
2014-08-01,3,0,0
2014-08-06,0,7,0
2014-08-14,3,0,0
2014-08-27,0,0,8
2014-09-01,0,4,0
2014-09-08,0,6,0
2014-09-10,0,16,0
2014-09-15,0,5,0
2014-09-18,0,0,3
2014-09-20,0,3,0
2014-09-21,0,9,0
2014-09-22,0,2,0
2014-09-24,0,8,0
2014-09-27,0,5,0
2014-10-12,0,1,0
2014-10-17,0,10,0
2014-10-21,0,8,0
2014-11-01,0,1,41
2014-11-03,2,0,0
2014-11-06,3,0,0
2014-11-10,6,2,0
2014-11-15,0,0,6
2014-12-12,2,0,0
2014-12-14,9,4,0
2014-12-16,1,455,2
2014-12-18,8,0,0
2014-12-24,2,0,0
2014-12-27,0,3,4
2014-12-30,3,0,0
2015-01-08,0,9,0
2015-01-26,0,5,0
2015-02-04,0,3,0
2015-02-10,0,4,0
2015-02-11,0,3,0
2015-02-12,0,3,0
2015-02-14,3,0,0
2015-02-15,0,6,0
2015-02-20,2,0,0
2015-02-22,0,0,4
2015-02-23,10,0,0
2015-03-06,0,0,2
2015-03-07,2,0,0
2015-03-09,3,0,0
2015-03-18,3,0,0
2015-03-22,0,0,3
2015-04-03,8,0,0
2015-04-07,5,0,0
2015-04-09,0,4,0
2015-04-12,1,0,0
2015-04-24,0,9,0
2015-04-27,2,0,0
2015-04-28,0,2,0
2015-04-30,0,4,0
2015-05-11,4,0,0
2015-05-13,0,4,0
2015-05-18,9,0,0
2015-05-22,0,0,3
2015-05-27,7,0,0
2015-06-04,31,0,0
2015-06-18,3,0,0
2015-06-26,0,4,0
2015-06-30,6,2,0
2015-07-04,1,0,0
2015-07-07,3,0,0
2015-07-13,0,5,0
2015-07-18,7,0,0
2015-07-19,5,0,4
2015-07-21,5,0,0
2015-07-22,0,661,0
2015-07-28,3,0,0
2015-08-02,3,2,0
2015-08-13,4,0,0
2015-08-21,2,1,0
2015-08-29,7,0,0
2015-09-08,0,6,0
2015-09-12,7,0,0
2015-10-05,3,0,0
2015-10-08,0,0,6
2015-10-10,0,0,2
2015-10-20,5,0,0
2015-10-26,5,0,0
2015-10-29,0,4,0
2015-11-04,0,12,0
2015-11-15,0,6,0
2015-12-26,4,0,0
2016-01-05,0,4,0
2016-01-11,0,6,0
2016-01-13,0,0,5
2016-01-25,0,0,3
2016-01-27,0,11,0
2016-01-29,8,0,0
2016-02-22,0,5,0
2016-02-23,0,4,0
2016-02-27,6,0,4
2016-03-08,6,0,0
2016-03-15,0,9,0
2016-03-22,2399,0,0
2016-03-31,0,5,0
2016-05-12,10,0,0
2016-05-13,11,0,0
2016-05-21,6,0,0
2016-06-06,0,0,17
2016-06-08,16,5,0
2016-06-23,0,0,17
2016-06-30,0,8,0
2016-07-06,42,7,0
2016-07-15,0,4,0
2016-08-12,0,1,0
2016-09-03,0,1,0
2016-09-04,0,7,0
2016-09-06,0,1,0
2016-09-09,0,0,6
2016-09-15,0,10,0
2016-09-21,0,131,4
2016-09-27,0,6,0
2016-09-28,5,2,0
2016-10-03,0,5,0
2016-10-05,0,3,0
2016-10-07,140,0,0
2016-10-08,2,3,0
2016-10-10,1,0,0
2016-10-11,1,0,0
2016-10-12,1,0,0
2016-10-13,5,1,0
2016-10-15,1,0,1
2016-10-17,27,2,0
2016-10-18,0,1,0
2016-10-19,0,2,0
2016-10-21,32,0,0
2016-10-22,17548,0,0
2016-10-23,0,1,0
2016-10-24,0,18,0
2016-10-26,0,11,0
2016-10-28,1,0,0
2016-10-29,0,0,1
2016-10-30,0,37,0
2016-10-31,0,1,0
2016-11-03,2,96,0
2016-11-04,7,0,1932
2016-11-05,2,0,0
2016-11-06,0,0,1
2016-11-07,1,0,0
2016-11-08,1,2,0
2016-11-09,1,29,0
2016-11-10,0,0,1
2016-11-11,1,0,0
2016-11-15,1,0,0
2016-11-17,0,20,0
2016-11-23,1,1,0
2016-11-25,20,1,0
2016-11-28,0,0,1
2016-11-29,371,0,0
2016-12-01,12492,12,22
2016-12-02,0,21,7
2016-12-05,2,0,1
2016-12-11,8,0,0
2016-12-13,0,1,0
2016-12-14,3,1,0
2016-12-15,2,0,0
2016-12-16,0,1,0
2016-12-18,9154,1,0
2016-12-19,427,0,0
2016-12-20,78,14,0
2016-12-23,11,0,0
2016-12-24,1,0,0
2016-12-26,247,11,0
2016-12-27,2,0,0
2016-12-28,0,167,0
2017-01-01,1,20,0
2017-01-02,5,1,1
2017-01-03,9,0,0
2017-01-05,1,0,1
2017-01-06,2,1,0
2017-01-07,2,6,0
2017-01-08,2,0,0
2017-01-09,2,0,4
2017-01-10,0,0,1
2017-01-11,2,0,0
2017-01-12,5,0,0
2017-01-14,1,1,0
2017-01-15,0,2,0
2017-01-16,2,0,0
2017-01-17,3,1,0
2017-01-18,1,4,0
2017-01-19,3,2,1
2017-01-20,1,3,0
2017-01-21,13,0,0
2017-01-22,4,0,1
2017-01-24,7,1,0
2017-01-26,1,0,0
2017-01-28,1,3,0
2017-01-29,3,0,0
2017-01-30,1,0,0
2017-01-31,4,6,2
2017-02-02,2,7,4
2017-02-03,2,1,1
2017-02-04,18,0,0
2017-02-06,4,1,1
2017-02-07,5,0,0
2017-02-08,0,2,0
2017-02-12,8,4,5
2017-02-13,5,11,0
2017-02-14,6,3,0
2017-02-15,22,2,0
2017-02-16,1,1,0
2017-02-17,6,0,0
2017-02-18,5,0,0
2017-02-19,2,1,2
2017-02-20,3,7,5
2017-02-21,3,1,0
2017-02-22,6,0,2
2017-02-23,0,1,0
2017-02-24,0,1,0
2017-02-25,3,1,0
2017-02-26,4,2,5
2017-02-27,14,2,0
2017-02-28,2,0,0
2017-03-01,1,0,1
2017-03-02,2,1,1
2017-03-03,3,1,0
2017-03-04,2,0,1
2017-03-05,5,0,0
2017-03-06,0,18,0
2017-03-07,2,52,0
2017-03-08,17,13,0
2017-03-10,5,2,3
2017-03-11,32,8,1
2017-03-13,0,1,0
2017-03-14,2,1,0
2017-03-15,7,0,0
2017-03-16,10,0,0
2017-03-17,0,2,0
2017-03-18,5,0,0
2017-03-21,6,2,1
2017-03-23,0,3,0
2017-03-24,1,0,0
2017-03-26,1,3,0
2017-03-27,1,7,0
2017-03-29,0,6,0
2017-03-30,2,0,1
2017-03-31,1,0,0
2017-04-01,8,0,0
2017-04-02,2,0,0
2017-04-03,0,0,1
2017-04-04,0,7,0
2017-04-05,5,2,0
2017-04-06,7,0,0
2017-04-08,1,9,0
2017-04-10,3,0,0
2017-04-11,1,0,0
2017-04-12,12,0,0
2017-04-13,15,0,0
2017-04-14,5,0,0
2017-04-19,18,17,0
2017-04-20,8,11,0
2017-04-21,9,8,0
2017-04-22,8,1,5
2017-04-23,1,0,1
